start_time	end_time	character_name	dialogue	location
00:10:53,630	00:10:55,750	JERRY	No kiddin'?	LUNDEGAARD KITCHEN
00:10:56,970	00:10:58,840	WADE	Well... Why don't we...	EMBERS FAMILY RESTAURANT
00:11:01,010	00:11:05,420	JERRY	Well, he never done this before, but seein' as it's special circumstances and all, he says I can knock one hunnert off that TruCoat.	JERRY'S CUBICLE
00:11:10,150	00:11:12,050	CUSTOMER	One hundred! You lied to me, Mr. Lundegaard. You're a bald-faced liar!	JERRY'S CUBICLE
00:11:16,490	00:11:18,230	WIFE	Bucky, please!	JERRY'S CUBICLE
00:11:18,320	00:11:20,730	CUSTOMER	... A fucking liar -	JERRY'S CUBICLE
00:11:23,540	00:11:27,530	CUSTOMER	Oh, for Christ's sake, where's my goddamn checkbook. Let's get this over with.	JERRY'S CUBICLE
00:12:10,580	00:12:13,040	JEAN	I'm talkin' about your potential.	LUNDEGAARD KITCHEN
00:12:14,670	00:12:16,990	JEAN	You're not a C student.	LUNDEGAARD KITCHEN
00:12:18,500	00:12:20,960	JEAN	And yet you're gettin' C grades. It's this disparity there that concerns your dad and me.	LUNDEGAARD KITCHEN
00:12:25,760	00:12:28,000	JEAN	You know what a disparity is?	LUNDEGAARD KITCHEN
00:12:25,760	00:12:28,000	SCOTT	(testily) Yeah!	LUNDEGAARD KITCHEN
00:12:28,100	00:12:32,310	JEAN	Okay. Well, that's why we don't want ya goin' out fer hockey.	LUNDEGAARD KITCHEN
00:12:33,390	00:12:36,180	SCOTT	Oh, man!	LUNDEGAARD KITCHEN
00:12:37,520	00:12:38,520	JEAN	Hold on.	LUNDEGAARD KITCHEN
00:12:38,610	00:12:40,930	SCOTT	... What's the big deal? It's an hour -	LUNDEGAARD KITCHEN
00:12:38,610	00:12:40,930	JEAN	... Hello?	LUNDEGAARD KITCHEN
00:12:41,030	00:12:42,980	PHONE_VOICE	Yah, hiya, hon.	LUNDEGAARD KITCHEN
00:12:41,030	00:12:42,980	JEAN	Oh, hiya, Dad.	LUNDEGAARD KITCHEN
00:12:43,070	00:12:46,600	WADE	Jerry around?	LUNDEGAARD KITCHEN
00:12:46,700	00:12:50,280	JEAN	It's Dad.	LUNDEGAARD KITCHEN
00:12:50,370	00:12:52,910	SCOTT	Look, Dad, there is no fucking way -	LUNDEGAARD KITCHEN
00:12:53,000	00:12:55,870	JERRY	Say, let's watch the language -	LUNDEGAARD KITCHEN
00:12:55,960	00:12:58,330	MARGE	How ya doin'?	THE DOWNTOWN RADISSON HOTEL
00:12:55,960	00:12:58,330	WADE	What's goin' on there?	LUNDEGAARD KITCHEN
00:12:58,420	00:13:00,790	JERRY	Oh, nothing, Wade. How ya doin' there?	LUNDEGAARD KITCHEN
00:13:00,880	00:13:04,500	WADE	Stan Grossman looked at your proposal. Says it's pretty sweet.	LUNDEGAARD KITCHEN
00:13:04,590	00:13:06,880	WADE	We might be innarested.	LUNDEGAARD KITCHEN
00:13:12,520	00:13:17,430	WADE	Come by at 2:30 and we'll talk about it. If your numbers are right, Stan says its pretty sweet. Stan Grossman.	LUNDEGAARD KITCHEN
00:13:19,480	00:13:21,560	WADE	2:30.	LUNDEGAARD KITCHEN
00:13:36,290	00:13:38,240	JERRY	Say, Shep, how ya doin' there?	GUSTAFSON OLD GARAGE
00:13:38,330	00:13:42,110	JERRY	Say, ya know those two fellas ya put me in touch with, up there in Fargo?	GUSTAFSON OLD GARAGE
00:13:42,210	00:13:45,990	SHEP	Put you in touch with Grimsrud.	GUSTAFSON OLD GARAGE
00:13:46,090	00:13:48,210	SHEP	Well, I don't vouch for him.	GUSTAFSON OLD GARAGE
00:13:48,300	00:13:51,830	SHEP	I vouch for Grimsrud. Who's his buddy?	GUSTAFSON OLD GARAGE
00:13:48,300	00:13:51,830	JERRY	Carl somethin'?	GUSTAFSON OLD GARAGE
00:13:51,930	00:13:54,300	SHEP	Never heard of him. Don't vouch for him.	GUSTAFSON OLD GARAGE
00:13:54,390	00:13:58,170	JERRY	Well, that's okay, he's a buddy of the guy ya vouched for, so I'm not worryin'. I just, I was wonderin', see, I gotta get in touch with 'em for, I might not need it anymore, sumpn's happenin', see -	GUSTAFSON OLD GARAGE
00:14:05,820	00:14:09,940	JERRY	Yah, well, see, I did that, and I haven't been able to get 'em, so I thought you maybe'd know an alternate number or what have ya.	GUSTAFSON OLD GARAGE
00:14:13,320	00:14:15,320	SHEP	Nope.	GUSTAFSON OLD GARAGE
00:14:15,410	00:14:17,480	JERRY	Okay, well, real good, then.	GUSTAFSON OLD GARAGE
00:14:50,230	00:14:54,150	CARL	... Look at that. Twin Cities. IDS Building, the big glass one. Tallest skyscraper in the Midwest. After the Sears, uh, Chicago... You never been to Minneapolis?	CAR
00:15:08,340	00:15:11,420	CARL	... Would it kill you to say something?	CAR
00:15:11,510	00:15:14,000	CARL	"""No."" First thing you've said in the last four hours. That's a, that's a fountain of conversation, man. That's a geyser. I mean, whoa, daddy, stand back, man. Shit, I'm sittin' here driving, man, doin' all the driving, whole fuckin' way from Brainerd, drivin', tryin' to, you know, tryin' to chat, keep our spirits up, fight the boredom of the road, and you can't say one fucking thing just in the way of conversation."	CAR
00:15:46,660	00:15:49,280	CARL	... Well, fuck it, I don't have to talk either, man. See how you like it...	CAR
00:16:04,220	00:16:06,300	CARL	... Total silence...	CAR
00:16:08,520	00:16:12,730	MARGE	Mr. Lundegaard?	JERRY'S OFFICE
00:16:12,810	00:16:16,980	JERRY	Yah, real good. How you doin'?	JERRY'S CUBICLE
00:16:12,810	00:16:16,980	VOICE	Pretty good, Mr. Lundegaard. You're damned hard to get on the phone.	JERRY'S CUBICLE
00:16:17,070	00:16:20,350	JERRY	Yah, it's pretty darned busy here, but that's the way we like it.	JERRY'S CUBICLE
00:16:20,450	00:16:25,490	VOICE	That's for sure. Now, I just need, on these last, these financing documents you sent us, I can't read the serial numbers of the vehicles on here, so I -	JERRY'S CUBICLE
00:16:36,750	00:16:43,340	VOICE	Yeah, but the vehicles you were borrowing on, I just can't read the serial numbers on your applicaton. Maybe if you could just read them to me -	JERRY'S CUBICLE
00:16:47,310	00:16:51,470	VOICE	Yeah, but we have an audit here, I just have to know that these vehicles you're financing with this money, that they really exist.	JERRY'S CUBICLE
00:16:55,610	00:16:59,020	VOICE	I'm sure they do - ha ha! But I can't read their serial numbers here. So if you could read me -	JERRY'S CUBICLE
00:17:05,620	00:17:09,230	VOICE	No, fax is no good, that's what I have and I can't read the darn thing -	JERRY'S CUBICLE
00:17:09,330	00:17:12,250	JERRY	Yah, okay, I'll have my girl send you over a copy, then.	JERRY'S CUBICLE
00:17:20,420	00:17:23,670	VOICE	Three hundred and twenty thousand dollars. See, I gotta correlate that money with the cars it's being lent on.	JERRY'S CUBICLE
00:17:23,760	00:17:26,760	MARGE	No, no.	INT. HUT
00:17:26,840	00:17:29,930	MARGE	Oh, fine.	INT. HUT
00:17:30,010	00:17:32,090	MARGE	... Okay. There in a jif... Real good, then.	AN OIL PAINTING
00:17:50,990	00:17:56,030	MARGE	It's terrific!	A BEDROOM
00:18:12,930	00:18:15,880	COP_ONE	Dale!	MOTEL ROOM DOORWAY
00:18:22,360	00:18:26,060	CLERK	And how are you today, sir?	HOTEL LOBBY
00:18:41,500	00:18:43,370	GRIMSRUD	Unguent.	KITCHEN
00:20:27,600	00:20:31,680	STAN	Good to see ya again, Jerry. If these numbers are right, this looks pretty sweet.	INT. WADE'S OFFICE
00:20:34,530	00:20:38,230	WADE	This is do-able.	INT. WADE'S OFFICE
00:20:38,320	00:20:41,940	STAN	Congratulations, Jerry.	INT. WADE'S OFFICE
00:20:38,320	00:20:41,940	JERRY	Yah, thanks, Stan, it's a pretty -	INT. WADE'S OFFICE
00:20:42,030	00:20:44,990	WADE	What kind of finder's fee were you looking for?	INT. WADE'S OFFICE
00:20:47,040	00:20:52,380	STAN	The financials are pretty thorough, so the only thing we don't know is your fee.	INT. WADE'S OFFICE
00:20:52,460	00:20:56,460	JERRY	... My fee? Wade, what the heck're you talkin' about?	INT. WADE'S OFFICE
00:20:58,760	00:21:01,510	WADE	We're good to loan in.	INT. WADE'S OFFICE
00:21:01,590	00:21:04,880	WADE	But we never talked about your fee for bringin' it to us.	INT. WADE'S OFFICE
00:21:04,970	00:21:09,050	JERRY	No, but, Wade, see, I was bringin' you this deal for you to loan me the money to put in. It's my deal here, see?	INT. WADE'S OFFICE
00:21:12,900	00:21:15,350	STAN	Jerry - we thought you were bringin' us an investment.	INT. WADE'S OFFICE
00:21:15,440	00:21:20,190	STAN	You're sayin' - what're you sayin'?	INT. WADE'S OFFICE
00:21:20,280	00:21:24,530	WADE	You're sayin' that we put in all the money and you collect when it pays off?	INT. WADE'S OFFICE
00:21:30,370	00:21:34,370	STAN	We're not a bank, Jerry.	INT. WADE'S OFFICE
00:21:39,840	00:21:41,500	STAN	He's at Norstar.	INT. WADE'S OFFICE
00:21:39,840	00:21:41,500	WADE	He's at -	INT. WADE'S OFFICE
00:21:46,050	00:21:47,710	GRIMSRUD	I need ... unguent.	KITCHEN
00:21:47,810	00:21:52,800	JERRY	No, see, I don't need a finder's fee, I need - finder's fee's, what, ten percent, heck that's not gonna do it for me. I need the principal.	INT. WADE'S OFFICE
00:21:52,890	00:21:57,560	WADE	What the heck were you thinkin'? Heck, if I'm only gettin' bank interest, I'd look for complete security. Heck, FDIC. I don't see nothin' like that here.	INT. WADE'S OFFICE
00:22:01,650	00:22:05,400	SCOTT	Yeah, but -	SCOTTY'S BEDROOM
00:22:07,490	00:22:10,690	JERRY	Yah, but I - okay, I would, I'd guarantee ya your money back.	INT. WADE'S OFFICE
00:22:10,790	00:22:14,040	WADE	I'm not talkin' about your damn word, Jerry. Geez, what the heck're you?... Well, look, I don't want to cut you out of the loop, but his here's a good deal. I assume, if you're not innarested, you won't mind if we move on it independently.	INT. WADE'S OFFICE
00:23:29,490	00:23:31,780	WADE	Dammit!	EMBERS FAMILY RESTAURANT
00:24:02,100	00:24:03,980	JERRY	Hon? Got the growshries.	MINNEAPOLIS SUBURBAN HOUSE
00:24:44,060	00:24:47,010	JERRY	Yah, Wade, I - it's Jerry, I.	FOYER
00:24:47,100	00:24:48,980	JERRY	Yah! I ... those are in the mail.	JERRY'S CUBICLE
00:26:00,300	00:26:04,800	GRIMSRUD	Shut the fuck up or I'll throw you back in the trunk, you know.	INT. CAR
00:26:05,260	00:26:08,510	CARL	Geez. That's more'n I've heard you say all week.	INT. CAR
00:26:15,690	00:26:17,650	CARL	Ah, shit, the tags...	INT. CAR
00:26:27,370	00:26:31,150	CARL	... It's just the tags. I never put my tags on the car. Don't worry, I'll take care of this.	INT. CAR
00:27:00,570	00:27:05,770	CARL	... Let's keep still back there, lady, or we're gonna have to, ya know, to shoot ya.	INT. CAR
00:27:39,440	00:27:41,510	CARL	How can I help you, officer?	INT. CAR
00:27:51,330	00:27:55,990	TROOPER	This is a new car, then, sir?	INT. CAR
00:27:51,330	00:27:55,990	CARL	It certainly is, officer. Still got that smell!	INT. CAR
00:27:57,160	00:27:59,700	TROOPER	You're required to display temporary tags, either in the plate area or taped inside the back window.	INT. CAR
00:28:02,590	00:28:05,950	CARL	Certainly.	INT. CAR
00:28:02,590	00:28:05,950	TROOPER	Can I see your license and registration please?	INT. CAR
00:28:10,260	00:28:14,840	CARL	... I was gonna tape up the temporary tag, ya know, to be in full compliance, but it, uh, it, uh ... must a slipped my mind...	INT. CAR
00:28:21,600	00:28:27,020	CARL	... So maybe the best thing would be to take care of that, right here in Brainerd.	INT. CAR
00:28:27,110	00:28:30,980	TROOPER	What's this, sir?	INT. CAR
00:28:27,110	00:28:30,980	CARL	That's my license and regis- tration. I wanna be in compliance.	INT. CAR
00:28:36,790	00:28:41,160	CARL	... I was just thinking I could take care of it right here. In Brainerd.	INT. CAR
00:28:46,840	00:28:49,870	TROOPER	Put that back in your pocket, please.	INT. CAR
00:28:49,960	00:28:52,750	TROOPER	... And step out of the car, please, sir.	INT. CAR
00:29:35,930	00:29:37,800	CARL	(softly) Whoa... Whoa, Daddy.	INT. CAR
00:29:42,890	00:29:44,970	GRIMSRUD	You'll take care of it. Boy, you are smooth smooth, you know.	INT. CAR
00:29:56,860	00:29:59,070	GRIMSRUD	Clear him off the road.	INT. CAR
00:33:52,720	00:33:54,790	WOMAN	Oh, geez...	AN OIL PAINTING
00:34:00,060	00:34:02,130	WOMAN	... Hi, it's Marge...	AN OIL PAINTING
00:34:03,390	00:34:05,720	MARGE	... Oh, my. Where?... Yah... Oh, geez...	AN OIL PAINTING
00:34:08,360	00:34:10,430	MARGE	Ah, geez. So... Aw, geez. Here's the second one... It's in the head and the ... hand there, I guess that's a defensive wound. Okay.	BY THE WRECK
00:34:24,370	00:34:27,160	MARGE	... You can sleep, hon. It's early yet.	AN OIL PAINTING
00:34:32,880	00:34:34,960	MARGE	That's okay, hon. I gotta run.	AN OIL PAINTING
00:34:35,050	00:34:37,340	VOICE	Marge?	HOTEL BAR
00:34:52,610	00:34:54,680	MARGE	Aw, Norm.	AN OIL PAINTING
00:35:01,280	00:35:03,900	MARGE	Thanks, hon. Time to shove off.	PLATE
00:35:03,990	00:35:06,280	NORM	I love you, Margie.	A BEDROOM
00:35:03,990	00:35:06,280	MARGE	Love ya, hon.	PLATE
00:35:39,690	00:35:41,770	NORM	(off) Yah?	FRONT DOOR
00:35:41,860	00:35:44,270	MARGE	Prowler needs a jump.	FRONT DOOR
00:36:03,300	00:36:05,540	MARGE	Hiya, Lou.	HIGHWAY
00:36:05,640	00:36:08,510	MARGE	Whatcha got there?	AT A TABLE
00:36:08,600	00:36:11,350	LOU	Margie. Thought you might need a little warm-up.	HIGHWAY
00:36:11,440	00:36:13,310	MARGE	Yah, thanks a bunch. So what's the deal, now? Gary says triple homicide?	HIGHWAY
00:36:19,400	00:36:22,400	MARGE	Where is everybody?	HIGHWAY
00:36:22,490	00:36:24,770	LOU	Well - it's cold, Margie.	HIGHWAY
00:36:49,510	00:36:52,850	LOU	Oh, yah?	BY THE STATE TROOPER'S CAR
00:36:53,930	00:36:56,010	MARGE	... Where's the state trooper?	BY THE WRECK
00:36:56,100	00:37:00,050	LOU	Back there a good piece. In the ditch next to his prowler.	BY THE WRECK
00:37:02,110	00:37:07,900	MARGE	Okay, so we got a state trooper pulls someone over, we got a shooting, and these folks drive by, and we got a high-speed pursuit, ends here, and this execution-type deal.	BY THE WRECK
00:37:15,410	00:37:18,450	MARGE	I'd be very surprised if our suspect was from Brainerd.	BY THE WRECK
00:37:21,340	00:37:25,750	MARGE	Yah. And I'll tell you what, from his footprints he looks like a big fella -	BY THE WRECK
00:37:29,680	00:37:32,380	LOU	Ya see something down there, Chief?	BY THE WRECK
00:37:32,470	00:37:35,510	MARGE	Uh - I just, I think I'm gonna barf.	BY THE WRECK
00:37:43,070	00:37:45,440	MARGE	I'm fine - it's just morning sickness.	BY THE WRECK
00:37:47,570	00:37:50,140	MARGE	... Well, that passed.	BY THE WRECK
00:37:52,740	00:37:54,730	LOU	You had breakfast yet, Margie?	BY THE WRECK
00:37:54,830	00:37:56,700	MARGE	Oh, yah. Norm made some eggs.	BY THE WRECK
00:38:02,500	00:38:04,820	LOU	Yah? Well, what now, d'ya think?	BY THE WRECK
00:38:04,920	00:38:06,880	MARGE	Let's go take a look at that trooper.	BY THE WRECK
00:38:17,600	00:38:20,770	MARGE	For Pete's sake.	DOWN IN THE DITCH
00:38:17,600	00:38:20,770	LOU	How's it look, Marge?	DOWN IN THE DITCH
00:38:20,850	00:38:26,770	MARGE	Well, he's got his gun on his hip there, and he looks like a nice enough guy. It's a real shame.	DOWN IN THE DITCH
00:38:32,820	00:38:35,910	MARGE	You haven't monkeyed with his car there, have ya?	DOWN IN THE DITCH
00:38:32,820	00:38:35,910	LOU	No way.	DOWN IN THE DITCH
00:38:35,990	00:38:40,320	MARGE	Somebody shut his lights. I guess the little guy sat in there, waitin' for his buddy t'come back.	DOWN IN THE DITCH
00:38:40,410	00:38:43,120	MARGE	Heck, yah. Ya think, is Dave open yet?	DOWN IN THE DITCH
00:38:47,040	00:38:48,920	LOU	You don't think he's mixed up in -	DOWN IN THE DITCH
00:38:49,000	00:38:52,090	MARGE	No, no, I just wanna get Norm some night crawlers.	DOWN IN THE DITCH
00:38:54,930	00:38:57,930	MARGE	You look in his citation book?	INT. PROWLER
00:38:58,010	00:39:04,470	LOU	... Last vehicle he wrote in was a tan Ciera at 2:18 a.m. Under the plate number he put DLR - I figure they stopped him or shot him before he could finish fillin' out the tag number.	INT. PROWLER
00:39:09,520	00:39:12,970	LOU	So I got the state lookin' for a Ciera with a tag startin' DLR. They don't got no match yet.	INT. PROWLER
00:39:22,250	00:39:27,580	MARGE	Yah, I think that vehicle there probly had dealer plates. DLR?	INT. PROWLER
00:39:35,380	00:39:39,760	MARGE	Yah. Say, Lou, ya hear the one about the guy who couldn't afford personalized plates, so he went and changed his name to J2L 4685?	INT. PROWLER
00:39:44,140	00:39:46,430	LOU	Yah, that's a good one.	INT. PROWLER
00:39:53,440	00:39:57,270	WADE	All's I know is, ya got a problem, ya call a professional!	EMBERS FAMILY RESTAURANT
00:39:57,360	00:40:02,900	GRIMSRUD	No.	CAR
00:40:10,620	00:40:13,330	JERRY	Well, they -	EMBERS FAMILY RESTAURANT
00:40:10,620	00:40:13,330	WADE	A million dollars is a lot a damn money! And there they are, they got my daughter!	EMBERS FAMILY RESTAURANT
00:40:13,420	00:40:16,120	JERRY	Yah, but think this thing through here, Wade. Ya give 'em what they want, why wont' they let her go? You gotta listen to me on this one, Wade.	EMBERS FAMILY RESTAURANT
00:40:22,340	00:40:26,010	WADE	Heck, you don't know! You're just whistlin' Dixie here! I'm sayin', the cops, they can advise us on this! I'm sayin' call a professional!	EMBERS FAMILY RESTAURANT
00:40:32,520	00:40:35,140	JERRY	No! No cops! That's final! This is my deal here, Wade! Jean is my wife here!	EMBERS FAMILY RESTAURANT
00:40:35,230	00:40:38,230	VOICE	Yah...	LUNDEGAARD KITCHEN
00:40:38,320	00:40:41,480	STAN	I gotta tell ya, Wade, I'm leanin' to Jerry's viewpoint here.	EMBERS FAMILY RESTAURANT
00:40:41,570	00:40:44,570	STAN	We gotta protect Jean. These - we're not holdin' any cards here, Wade, they got all of 'em. So they call the shots.	EMBERS FAMILY RESTAURANT
00:40:48,410	00:40:50,700	JERRY	You're darned tootin'!	EMBERS FAMILY RESTAURANT
00:40:48,410	00:40:50,700	WADE	Ah, dammit!	EMBERS FAMILY RESTAURANT
00:40:50,790	00:40:54,320	STAN	I'm tellin' ya.	EMBERS FAMILY RESTAURANT
